doi,sentence
10/1039_d0ta09553b_probing_the_charged_state_of,"Finally, the P3 phase can be prepared at lower temperatures and may exhibit high reversible capacities but usually suffers from severe capacity fade owing to poor structural stability. 146 Through integrating more than one phase into a single material, it is possible to enhance the electrochemical performance of sodium layered oxide positive electrode materials."
10/61173_338akv73_systematic_investigation_of_environmental_impact,The process will increase load by the hydrometallurgical treatment of lithium-ion batteries and sodium-ion batteries The preliminary model has been upgraded and incorporated into the excel-calculation tool which is based upon the stoichiometric calculations and other information obtained from patents and secondary publications on the recycling process.
10/1557_s43578_025_01669_6_coppercontaining_layered_oxide_cathodes_for,"Sodium-ion batteries have attracted significant attention as potential candidates for energy storage applications over the sustainability, cost, and safety issues of lithium-ion case."
10/1038_s41467_018_03257_1_monovalent_manganese_based_anodes_and,Full-cell testing was performed in vacuum-sealed pouch cells containing a cellulosic separator and a half-charged Prussian blue reference electrode that operated as an observer.
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"But for the hard carbon, it shows an H2-type hysteresis loop, which is a typical feature of inkbottle-like pores."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"Doping hard carbons with different dopants can also be achieved by introducing different acids (e.g., H3PO4, H2SO4 or H3BO3) in the synthesis process, followed by pyrolysis at 1100 °C."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"Further, this group 113 reported sucrose as a precursor for micro-spherical hard carbon by a hydrothermal reaction followed by pyrolysis at 1100 1C."
10/12693_aphyspola_146_244_magnetic_ordering_and_local_atomic,The Na0.67Fe1-yMnyO2 (y = 0.5 and 0.8) samples were investigated using 57 Fe Mössbauer spectroscopy at temperatures ranging from 4.5 to 700 K and superconducting quantum interference device magnetometer at temperatures ranging from 2 to 300 K.
10/1021_acs_inorgchem_6b01078_quantification_of_honeycomb_numbertype_stacking,"More recently, it was demonstrated by our group that both the disordered and ordered polymorphs for NaNi 2/3 Sb 1/3 O 2 contain well-developed honeycomb layers which obey the expected ABC stacking repeat sequence for O3-type α-NaFeO 2 layered materials, and that the primary difference between these two polymorphs is the degree of order in the number positions of the honeycomb layers."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,"Studies have shown that the doping of the Li ion in Na-intercalated layer at the O3-type positive electrode improves the structural stability from the pillar formation ; thus, surface stabilization is expected from this surface intercalation."
10/1039_d5ta00624d_mechanical_abuse_and_safety_in,"A commercially available Na 0.97 Ca 0.03 [Mn 0.39 Fe 0.31 Ni 0.22 -Zn 0.08 ]O 2 layered oxide (NNMF)/hard carbon (HC) sodium-ion pouch cell, 43 with a theoretical capacity of ∼220 mA h and manufactured by LiFUN, was selected for model calibration in this paper (Fig. 1(a))."
10/1039_d4eb00017j_recent_progress_and_perspectives_on,"A notable challenge is the propensity of layered oxide cathode materials to frequently undergo irreversible phase transitions under high voltages, 25,26 which are typically accompanied by significant volume fluctuations, further triggering the fracture of particles or their detachment from the current collector and impairing the diffusive kinetics of sodium ions."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"In which concern the commercial hard carbons, the specific surface area assessed by N2 is often available as well."
10/1039_d2ya00282e_virtual_screening_of_organic_quinones,"We assumed that molecules with small RMSD C values would be stable over their redox reactions with sodium metal Applying this criterion, 289 of the 326 purchasable quinones (i.e. 88% of the compounds) were found to have RMSD C r t b ."
10/15625_2525_2518_16040_investigating_performance_of_fullcell_using,The voltage profile of the SIB is almost exactly the subtraction of the cathode and the anode.
10/1039_d3sc06878a_developing_an_abnormal_highnacontent_p2type,The outcomes demonstrated in this work based on a general strategy could provide valuable insights into the development of high-performance P2-type layered oxide cathode materials for SIBs.
10/1038_srep25556_hierarchical_hollow_fe2o3mil101fec_derived_from,"The working electrodes of sodium-ion batteries were fabricated by blending the active material, acetylene black and polyvinylidene fluoride (PVDF) in N-methyl-2-pyrrolidone with a weight ratio of 80:10:10."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"However, as mentioned before, the porosity of hard carbon is very complex and particular, and the N2 gas is insufficient to characterize it."
10/1039_d2ra06336k_new_family_of_layered_nbased,"Recently, transition metal nitrides have been fabricated experimentally, and they have also received increasing attention theoretically. 30 It is shown that N-based compounds have ultra-high hardness and good electrical conductivity, especially N-based TMDs-like layered transition metal compounds with a large interlayer spacing, which is conducive to the diffusion of large sodium ions."
10/15251_jor_2020_166_387_advanced_organic_electrode_materials_for,The most effective method from the above said methods is nanosized particle methods which improve the contact area between the electrode and electrolyte which can envisage more active sites for the sodium storage and decreases the sodium ion diffusion.
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"In this regard, using advanced characterization tools to unveil the mechanism through spatial and temporal tracing of species evolved during the de(alloying) process is highly encouraged to sustain alloying SIB materials."
10/54097_gcheev16_enhancing_sodiumion_battery_performance_a,"Sodium-ion batteries (SIBs) have emerged as a promising candidate due to their similar working mechanisms to LIBs, yet they hold the potential for more cost-effective and sustainable energy storage."
10/1039_d3sc03498d_controllable_synthesis_of_a_naenriched,The sodium ions diffuse into the Na 3 VP lattice and locate at the partially occupied Na2 site to form a pure Na 4 VP phase.
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"As opposed to the SnNaSICONSn-100 and SnNaSICONSn-500 cells, the penetration observed in the SnNaSICONSn-1000 cell was much narrower and appeared to emanate from small points at the electrode|electrolyte interface."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,The low angle scattering for hard carbon can provide information about the surface porosity of open and closed pores.
10/1038_s41467_025_61065_w_inhibiting_interlayer_gliding_in_transition,"Therefore, we can reasonably attribute the improved performance and structure stability, observed exclusively in P2/P3-NaMNO, to its unique P2/P3 interphase configuration."
10/1039_d5ee00415b_benchmarking_stateoftheart_sodiumion_battery_cells,"However, this gap could be narrowed and even closed for specific SIB cell chemistries through optimization of HC, representing a near-future scenario."
10/1038_srep23338_first_introduction_of_nise2_to,The rGO and amorphous C with low Na-ion storage capability led to a reduction in the initial discharge capacity and Coulombic efficiency of the composite nanofibers.
10/1039_d5ta01104c_deciphering_the_role_of_hydrothermal,"The lower R ct value indicates faster transport of sodium ions in negative electrodes, which is responsible for the improved rate performance."
10/1039_c4ta06467d_recent_developments_in_electrode_materials,"A full cell was assembled using hard carbon as the anode and NaVPO 4 F as the cathode, which delivered a reversible capacity of 80 mA h g À1 , with an average discharge potential of 3.7 V. 104 Park et al. recently reported novel Na 1.5 VPO 4.8 F 0.7 with a high redox potential (3.8 V vs."
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,"After this, the duplex (porous + dense) solid electrolyte (Fig. 1a,b) was heated at 1100 °C to sinter the Nasicon slurry and enhance contact between porous and dense Nasicon SE."
10/1039_c8ra04421j_snsc_nanocomposites_for_highperformance_sodium,"We believe that the approach that we have used in this study, for the preparation of SnS/C nanocomposites, will provide valuable insights into developing practical and promising anode materials for sodium-ion batteries."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"Hard carbon can pursue the biomass precursor's natural morphology based on synthesis strategies such as simple direct pyrolysis, 114,115 hydrothermal carbonizations, 106 and physical and chemical activation 116,117 processes."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"However, the practical application of biomass-derived carbon is limited by their relatively rare storage sites and low diffusion kinetics. 121 In sucrose and glucose, it is converted into uniform spherical hard carbon via hydrothermal treatment at 160 1C."
10/3389_fenrg_2019_00028_roles_of_ti_in_electrode,"In sodium-ion batteries, Li 4 Ti 5 O 12 exhibits a stable specific capacity of 155 mAh/g with coulombic efficiency of >99% at a sodium storage voltages of 0.93 V and current rate of 0.1C."
10/3389_fchem_2018_00396_porous_nati2po43_nanocubes_anchored_on,NaTi 2 (PO 4 ) 3 has attracted great interest as anode material for sodium ion batteries owing to its open three-dimensional framework structure and limited volume changes during the charge and discharge process.
10/1039_d0ta09553b_probing_the_charged_state_of,"When cycled against a hard carbon anode material, the formation of the SEI at the anodeelectrolyte interface results in the irreversible consumption of sodium ions from the positive electrode material. 218 The irreversible consumption of sodium ions can pose a signicant problem for P2-type layered oxide structures which are inherently sodium decient."
10/1039_d4ya00129j_the_impact_of_templating_and,"However, there is a noticeable difference in the time taken to reach the full capacity (Fig. 4 sodium are required, so that the presence shorter pathways for sodium transport facilitates occupation of sodium storage sites into the carbon and, as a result, leads to higher capacity in this kind of measurement."
10/1039_c8ra05544k_iin_situi_approach_of_cementite,"The large irreversible capacity in the 1st cycle is attributed to the SEI formation and the irreversible insertion of sodium ion with a relatively large ionic radius. 22,23 Following the rst cycle, the charge-discharge curves become more linear which exhibits a higher and more stable CE indicating a stable SEI layer formed in the rst cycle."
10/1039_d3na00930k_overcoming_copperinduced_conversion_reactions_in,"Employing copper (Cu) as an anode current collector for metal sulphides is perceived as a general strategy to achieve stable cycle performance in sodium-ion batteries, despite the compatibility of the aluminium current collector with sodium at low voltages."
10/1039_d4ta07755e_structural_evolution_of_prussian_blue,"Prussian blue analogues (PBAs) are promising cathode candidates for sodium-ion and potassium-ion batteries; however, the complicate phase transitions occurring during charge/discharge affect intercalation dynamics and long-term stability."
10/20517_microstructures_2024_01_multiphase_manganesebased_layered_oxide_for,"Specifically, there is only one occupation of sodium ions in O3-type Mn-based oxides."
10/1039_c6ra24800d_facile_synthesis_of_ultrathin_mossub2subc,"This, in addition to the restricted distribution of Li mineral reserves, may dramatically increase the cost of lithium ion batteries. 1,2 Rechargeable sodium ion batteries (SIBs) have recently attracted great attention due to the wide availability of sodium."
10/1557_s43581_024_00118_x_multiscale_approaches_for_optimizing_the,"Despite a theoretical capacity of 335 mAh/g (based on the insertion of 1.0 Na-ion per TiO 2 formula unit), TiO 2 polymorphs such as anatase and TiO 2 (B) have shown much lower reversible capacities, rarely exceeded 200 mAh/g when cycled versus Na. 103,104 This is primarily due to the fact that Na-ion intercalation into crystalline TiO 2 phases is thermodynamically unfavorable."
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,"Wettability of the molten Na on the NaSICON was determined by the sessile drop technique, in which the contact angle of the molten Na drop was measured on bare NaSICON and on Sn-coated NaSICON, in which the Sn coating thickness was below and above the critical thickness."
10/1007_s40243_018_0129_5_electrochemical_performance_of_snov2o5sio2_glass,"Despite the fact that several crystalline cathode compounds have been developed successfully, slow development of anode materials hampers to realize of room temperature Na-ion batteries ."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"Phase purity, as evaluated by x-ray diffraction (XRD) shown in Figure S1, revealed only the desired NaSICON phase and trace ZrSiO4."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,The resistance marginally increased to 2.5 Ω by the experiment's conclusion and was most likely due to complete conversion to NaSn or slight NaSICON reduction.
10/1557_mrc_2017_25_nanostructured_layered_vanadium_oxide_as,Sodium-ion batteries (SIBs) have received intensive attentions owing to the abundant and inexpensive sodium (Na) resource.
10/1039_d3cc04722a_nasub2subfesub2subsesub2subo_a_double_antiperovskite_with,"In particular, it was shown to deliver a specific capacity of about 150 mA h g À1 in half-cells vs. sodium with an average discharge voltage around 2.0 V, and about 125 mA h g À1 in full-cells with a pre-cycled hard carbon at a rate of 0.1C (1 Na + per Na 2 Fe 2 OS 2 formula in 10 h). 5 However, the impressive capacity values decay relatively fast with each subsequent cycle."
10/1016_j_jeurceramsoc_2023_04_008_high_performance_nasicon_ceramic_electrolytes,Sodium ion batteries (SIBs) have recently been revisited as an alternative to solve some of these drawbacks.
10/1007_s40820_024_01546_7_sulfolanebased_flameretardant_electrolyte_for_highvoltage,"The CH -, C 2 HO -and NaCO 3 -contents are higher in E-Control, indicating a violent decomposition of solvents, which is consistent with the XPS results."
10/1038_s41467_025_58113_w_fluorinated_amorphous_halides_with_improved,"Building on this inference, we developed a series of Na-ion halide SEs systems with improved conductivities by adjusting carrier and vacancy contents through facile Na/Cl-DC strategies."
10/1007_s40820_020_00506_1_enhanced_pseudocapacitive_contributions_to_highperformance,Such pronounced pseudo-capacitive sodium storage mechanism could be related to the combination of nanostructured and pseudo-capacitive components of TiS 2 /S-TiO 2 /C composites electrode.
10/1039_d3ra02132g_synthesis_of_sbpyromellitic_acid_metalorganic,CR2032 was assembled to evaluate the electrochemical performance of Sb-PMA-300 as anodes for sodium-ion batteries.
10/1002_aenm_202303833_review_insights_on_hard_carbon,"In general, as the pyrolysis temperature increases, the ASA of hard carbons decreases, as is the case for cellulose precursors 40 (from 44 to 1 m 2 g -1 when the temperature varied from 1000 °C to 1600 °C) or phenolic resin spheres 98 (from ~12 to 1.3 m 2 g -1 when temperature increased from 1300 °C to 1600 °C)."
10/1039_d4sc04584j_potassium_escaping_balances_the_degree,The three sodium storage behaviors are further illustrated by kinetic processes of Na + storage from the galvanostatic intermittent titration technique (GITT) in Fig.
10/20517_energymater_2024_28_electronic_modification_of_nacrosub2sub_iviai,"After Ni 2+ -substitution, the fringe spacing corresponding to the plane increases from 0.53 to 0.55 nm for the NCNO-0.05 sample, which belongs to the Rinm phase of O3-type layered metal oxide."
10/1557_s43578_025_01669_6_coppercontaining_layered_oxide_cathodes_for,"Targeted innovation in material design, synthesis methods, and electrode architecture will be essential to fully unlock the potential of Cu-containing cathodes in practical sodium-ion battery applications."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,This same behavior was observed in the fifth and final interval in the SnNaSICONSn-1000 cell.
10/1038_s41467_021_22523_3_tuning_local_chemistry_of_p2,"This investigation will shed lights on the tuneable chemical environments of transition-metal oxides for advanced cathode materials and promote the development of sodium-ion batteries. odium-ion batteries (SIBs) have been considered as one promising next-generation battery system for large-scale energy storage and smart electric grid, due to the low cost and wide distribution of Na resources ."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"Amongst all, alloying-type materials that mainly include Sn, Sb, Si, Ge, and P are the most explored SIB anode materials ."
10/1039_d1ta08471b_oxygen_redox_chemistry_in_p2nasub06sublisub011subfesub027submnsub062subosub2sub,"Mu et al. synthesized and studied the Na storage performance of O3-Na0.9[Fe0.30Mn0.48Cu0.22]O2, which provided a reversible capacity of about 100 mAh g -1 between the voltage range of 2.5-4.1 V and showed a good cycle stability with an average voltage of about 3.2 V."
10/1007_s41918_024_00215_y_recent_progress_in_sodiumion_batteries,SIBs anode materials are generally classified into four types based on the reaction mechanism: sodium metal anode materials based on sodium deposition; insertion-type mechanisms; alloy-type materials and conversion-type materials.
10/1007_s10668_020_00891_y_comparative_life_cycle_assessment_of,"Sodium-ion batteries (SIBs) potentially represent a more sustainable, less expensive and environmentally friendly alternative to lithium-ion batteries."
10/1007_s41918_024_00215_y_recent_progress_in_sodiumion_batteries,"In the case of low concentration salt and tetrahydrofuran solvent, the interaction between solvent and sodium ions is low to realize fast reaction kinetics at low temperatures."
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,"Here, in-situ formation of tin-based chaperone phases on solid state NaSICON ion conductor surfaces is shown in this work to greatly improve charge transfer and lower interfacial resistance in sodium symmetric cells operated at 110 °C at current densities up to an aggressive 50 mA cm Z."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"As an SIB anode, the composite sustained a high capacity (442 mAh g -1 over 200 cycles at 1 A g -1 ) and an excellent rate capacity (448 mAh g -1 at 5.0 A g -1 ) that outperformed pure Sb 2 S 3 and SnS@C composites."
10/1039_d0ta09553b_probing_the_charged_state_of,"Continual advancement in knowledge regarding transition metal migration, phase transitions and the oxygen redox reaction in sodium layered oxides are essential to their development."
10/1134_s0036024424040150_new_electrochemical_systems_for_sodiumion,Calculation of the theoretical specific capacity of a sodium-ion battery with a carbon anode gives the values from 89 to 116 mA h/g (depending on the cathode material) based on the total mass of the anode and cathode materials.
10/1039_d5ta00826c_understanding_the_structure_and_mechanism,"Despite a large amount of available literature sources, the sodium ion transport mechanism and structure are not fully understood today."
10/1039_d4mh01118j_hard_carbon_from_a_sugar,"The diffraction pattern shows two broad peaks centered at around 231 and 441 that are attributed to the and diffractions of hard carbons, respectively (Fig. 1d and Fig."
10/1038_s41467_025_59223_1_regulating_na_content_and_mn,The sodium storage performances of the N1-N3 samples in aqueous electrolyte (1 M Na 2 SO 4 ) were investigated in three-electrode cells using Pt counter electrode and Ag/AgCl reference electrode.
10/20517_energymater_2024_283_fe_singleatomregulated_carbon_nanofibers_for,"The dopants of Ni-single atoms in N, P co-doped hard carbon accommodate the composition of the interface layer formed from solid electrolyte, thus maintaining the state of Ni-single atoms-modified N, P co-doped hard carbon (Ni-NPC) ."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,The Brunauer-Emmett-Teller (BET) technique is a well-known technique for measuring the surface area of carbonaceous materials with micropores. 67 Chen et al. 38 fabricated micro-spherical hard carbons with type I isotherms that indicate the microporosity of the material (Fig. 1d).
10/1557_s43578_025_01710_8_synthesis_strategies_and_in_situ,"Together, these advances offer pathways toward optimizing LTMO materials for next-generation sodium-ion battery technologies."
10/3389_fchem_2020_00152_building_high_power_density_of,"Due to their high ionic conductivities, the NASICON-type materials also have been investigated as solid-state electrolytes (Li et al., 2018;Lu et al., 2018)."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"The advantages of these shapes lie in the low volume-to-surface ratio, the short ionic diffusion length, the richness in reactive sites, the reduction of the volume expansion effect, and the improved electrochemical performance for SIB anodes 150,151 ."
10/1557_s43578_025_01710_8_synthesis_strategies_and_in_situ,Sodium-ion batteries (SIBs) have received increased attention in the past decade as a complementary technology to lithiumion batteries (LIBs) primarily driven by the surging demands for critical materials in the electric vehicle market leading to potentially severe supply chain shocks .
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,"The HR-TEM image shows the curved, randomly oriented, 65 and stacked graphene layer from which the curvature and the interlayer spacing of the graphene layers can be qualitatively obtained. 66 Fig. 1c displays an HR-TEM image of hard carbon synthesized from resorcinol formaldehyde via the hydrothermal method at 1300 1C showing curved shortrange ordered graphitic domains."
10/1039_d4sc01395f_pdoped_spherical_hard_carbon_with,"Signicantly, PHC-0.2 possesses a higher reversible capacity, corresponding to an ultrahigh ICE of 92%, which is better than those reported in most previous literature, and the ICE of hard carbon anodes in SIBs hardly exceeds 90% in ester electrolytes (Table S4 †)."
10/1039_c6ta05030a_extending_the_cycle_life_of,"Na 3 V 2 (PO 4 ) 3 (NVP), a prevalent cathode candidate and one of the most stable Na-ion host materials, still exhibits capacity losses in prolonged cycling."
10/1038_s41467_022_30113_0_entropy_and_crystalfacet_modulation_of,The surface energy of these P2-type entropy-tuned materials is mainly affected by configurational entropy S config at a given temperature.
10/48676_unibo_amsdottorato_10734_synthesis_and_characterization_of_prussian,"In our project, we focus our study on Prussian blue analogues (PBAs), with formula A x M[M'(CN) 6 ] 1-y □ y • zH 2 O (0≤x≤2, 0<y<1), where A is alkali-metal ion, M and M' are transition metal ions, □ represents the M'(CN) 6 vacancy, which are archetype of metal-organic framework, with 3D frameworks which allow for a facile insertion/ extraction of ions with negligible lattice strain."
10/1038_s41598_020_66148_w_investigation_on_the_electrochemical_performances,"Coin-type cell (CR 2032) was assembled in an Argon-filled glove box (Mbraun, Unilab, Germany) using sodium metal (Sigma-Aldrich, 99.9% trace metals basis) as the counter electrode."
10/1021_acsaem_0c01352_vacancyenhanced_oxygen_redox_reversibility_in,The P3-type Air-Na0.67Mg0.2Mn0.8O2 and Oxygen-Na0.67Mg0.2Mn0.8O2 show stable cycling performance in the voltage range 1.8-3.8 V where the electrochemical reaction is entirely based on the Mn 3+ /Mn 4+ redox couple.
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,The almost overlapped charge-discharge curves indicate that the hard carbon anode remains stable after aging (Fig. 6b).
10/1039_d5ra05188f_controlled_formation_of_closedpore_structures,"Zhong et al. prepared novel nitrogen-doped carbon spheres with mesopores, ultrathin nanostructures, and optimized graphitization through a three-step process. 18 Beneting from the unique mesoporous architecture and wellregulated nitrogen content, the number of sodium-ion adsorption sites was signicantly increased."
10/1039_d1se01292d_on_the_environmental_competitiveness_of,"Especially the assessed manganese and nickel-manganese based SIB chemistries show promising results, given that they achieve at least similar lifetimes as their LIB counterparts."
10/1039_d0ra05623e_a_novel_and_fast_method,"Beneting from the binder-free preparation method and the unique composite structure, the a-Sb 2 S 3 @-CuSbS 2 electrode show satisfactory sodium storage performance with a high reversible capacity of 506.7 mA h g À1 at a current density of 0.05 A g À1 aer 50 cycles."
10/48676_unibo_amsdottorato_10734_synthesis_and_characterization_of_prussian,The third part is about the study of structure influence of MnHCF in organic Na-ion battery.
10/1039_d3gc05098j_prospective_hazard_and_toxicity_screening,"There are no results available (NA) for Prussian blue analogues, given that there are no hazards indicated based on the selected thresholds."
10/1002_aenm_201702781_insights_into_the_nasupsup_storage,"As shown in Figure 3b, all the discharge/charge curves of hard carbons display two regions: a) a flat plateau below 0.1 V and b) a slope between 0.1 and 1 V."
10/1039_d5na00004a_distorted_2h1t_mossub2sub_nanostructures_with,"Furthermore, the increased chemical reactivity and larger surface area of the 1T phase improve its interaction with the electrolyte and sodium ions, resulting in enhanced electrochemical performance."
10/61173_338akv73_systematic_investigation_of_environmental_impact,The hydrometallurgical facility that is currently used in lithium batteries is not suitable for the low-value containing batteries like sodium-ion batteries.
10/1039_c8ra01942h_borophene_as_a_promising_anode,"In order to locate the maximum theoretical sodium storage capacity, the most stable structures of sodiated borophene with increasing sodium concentration were investigated accordingly."
10/1021_acs_chemmater_9b02568_framework_doping_of_ni_enhances,"Although doping is an effective method to improve the electrochemical performance of MnO2 birnessite, most of the reported approaches have only reported the interlayer doping of guest ions and thus resulted in only partially improved storage capacity for aqueous Na-ion storage."
10/1039_c7cp00037e_design_of_fast_ion_conducting,We consider this to be an inherent feature of the material under the chosen synthesis conditions and modelled it more generally as Na 2+x Fe 2Àx/2 (SO 4 ) 3 with a representative local structure model. 21 The validity of this assumption was later corroborated by Oyama et al. 58 Sodium ion migration pathways in ''Na 2 Fe 2 (SO 4 ) 3 '' based on our BVSE method are shown in Fig. 4a andb.
10/20517_microstructures_2025_10_recent_advances_in_conversiontype_ironbased,"As an SIB anode, NC-FeSe 2 achieved a reversible capacity of 520.4 mA h g -1 over 100 cycles at 1 A g -1 ."
10/5109_2547345_cathode_properties_of_na3mpo4co3_m,"In this study, we used a hydrothermal method to synthesize Na 3 MPO 4 CO 3 (M = Co/Ni) and investigated its cathode properties in Na-ion batteries for the first time."
10/1038_s41467_025_57910_7_anionmediated_approach_to_overcome_oxidation,"The ether-based electrolytes are acknowledged for their compatibility with a diverse array of sodium-ion battery anodes, as well as their capability to enable efficient and reversible electrochemical reactions."
10/1039_d5ee00725a_reviving_etherbased_electrolytes_for_sodiumion,"Additionally, these ether-based electrolytes possess a high LUMO energy level, facilitating the formation of a thin and stable SEI, with excellent compatibility with sodium metal."
10/3389_fchem_2020_633949_a_comparative_study_on_na2fe06mn04po4fc,"Normally, high peak intensity and narrow half-peak width indicate large particle sizes of the sample, which will result in unfavorable diffusion and transmission of sodium ions in electrochemical reactions."
10/3389_fenrg_2020_615677_na044mno2polyimide_aqueous_naion_batteries_for,"In the spontaneous discharge process, sodium ions are inserted into the NMO cathode through a reduction process (through the external electricity flow of the battery) and the Na ions are desorbed from the PI (the PI is oxidized)."
10/1038_s41467_025_58637_1_highenergy_and_longlife_o3type_layered,"For the pouch-type Na-ion full cells, a prepared cathode (3 × 5 cm 2 , mass loading: 12 mg cm -2 ) was paired with an HC anode, with the negative electrode capacity set to approximately 1.1 times that of the positive electrode (N/P = 1.1)."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"Despite the fact that CO2 gas allows a more detailed characterization of the porosity of hard carbons, the use of this gas is rather limited, as shown from the data in Figure 14 compared to the N2 data in Figure 13. adsorption isotherms, as illustrated in Figure 15.a."
10/1016_j_jpowsour_2022_231383_establishing_substitution_rules_of_functional,"In sharp contrast, the presence of two pyridine ring structures in the Na-DCA could increase the available active sites and provide resonance stability during insertion/de-insertion of Na-ions (Scheme 1e), thus enabling four sodium-ion storage and a high specific capacity for Na-DCA."
10/1039_d0ra04640j_highperformance_aqueous_sodiumion_battery_using,"The practical application of aqueous sodium-ion batteries (ASIBs) is limited by the electrolysis of water, which results in a low working voltage and energy density of ASIBs."
10/1007_s43979_024_00081_z_research_progress_of_electrolyte_additives,Sodium-ion batteries are considered one of the perspective alternatives to lithium-ion batteries due to their affordability and plentiful supply of sodium.
10/1016_j_nanoen_2023_108753_in_situ_microscopy_and_spectroscopy,"Herein, we presented a comparative study on microsized Sn anode for sodium-ion batteries during charge/discharge in ether-based and carbonate-based electrolytes system."
10/26754_jjii3a_20239012_hard_carbons_from_waste_hemp,"WHH-derived hard carbons were synthesized via mild chemical-activation: 1 g of K 2 CO 3 was dissolved into 60 mL of distilled water to create a homogeneous solution, which was then hydrothermally treated with 5 g of WHH at 180 °C for 12 h."
10/1039_d5ra01549a_a_comprehensive_exploration_of_nasupsup,The Na + transport properties in NaSICONs were exhaustively investigated in Na 1+x+y Sc y Zr 2-y Si x P 3-x O 12 (0 # x # 3; 0 # y # 2) using FFMD simulations.
10/20517_microstructures_2023_102_nadeficient_p2type_layered_oxide_cathodes,"P2-type layered oxides exhibit compelling advantages but encounter persistent constraints, as discussed above."
10/1038_s41467_020_15938_x_operando_visualisation_of_battery_chemistry,Sodium metal cells were constructed using a Swagelok cell design (Supplementary Fig. 1b).
10/15251_jor_2020_166_387_advanced_organic_electrode_materials_for,The sulferization and the carbonization of the MOFs are being done in order to improve the charging rate of the sodium ion batteries .The safety of the sodium ion batteries is an important because varieties of organic electrodes are being used.
10/54254_2755_2721_26_20230838_comparative_study_of_commercialized_sodiumion,"Conversion type, and alloying type materials in the reaction process, sodium ions will react with host materials, the volume of the main body of the material changes drastically, resulting in the aggregation of the active material and crushing, leading to the rapid decay of the volume of the active material."
10/1007_s10853_019_04162_8_solidstate_synthesis_of_nasicon_na3zr2si2po12,"In this work, the effect of varying the size of the precursor raw materials SiO 2 and ZrO 2 in the solid-state synthesis of NASICON in the form Na 3 Zr 2 Si 2 PO 12 was studied."
10/1021_acs_chemmater_2c02816_phase_stability_and_kinetics_of,Density functional theory (DFT) calculations were used in an attempt to understand the multiple phase evolution processes upon chemical oxidation and electrochemical cycling of Na and Ca NaSICON materials.
10/3389_fbael_2023_1330448_effect_of_precursor_morphology_of,"The hard carbon anodes from MFC-C and CS-C were prepared by mixing the carbonized samples, carbon black (Sigma-Aldrich), carboxymethyl cellulose (CMC, Sigma-Aldrich) and styrenebutadiene rubber (SBR) with water as solvent in a ratio of 75:10: 5:10."
10/1557_s43578_025_01710_8_synthesis_strategies_and_in_situ,"However, current sodium-ion LTMOs typically underperform their lithium-ion counterparts in terms of electrochemical performance."
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"It is worth pointing out that there are some weak reflections around 2θ = 20° in the XRD pattern based on the C2/m model, which is different from the diffraction peaks resulting from O3-type structure ."
10/48048_tis_2025_9672_nasiconpeo_polyethylene_oxide_polymerinceramic_composite,"NASICON-based materials have been widely studied for their ability to conduct lithium ions at ambient temperatures, and their stability at high voltages and temperatures makes them particularly promising for applications in energy storage devices ."
10/1021_acs_chemmater_9b02269_water_contributes_to_higher_energy,"Using first-principles computations, we have performed a comprehensive analysis of the phase behavior of PBA cathodes for aqueous Na-ion batteries."
10/1016_j_jechem_2022_06_016_insights_into_ti_doping_for,"CR 2032 coincells were assembled using the cathode, sodium metal as anode, and glass fiber in the Ar-filled glovebox."
10/3389_fenrg_2022_888321_improving_insitu_sodium_metal_plating,"We demonstrate excellent Na||Cu half-cell results in coin cell configuration, and the scalability of the anodefree concept is further demonstrated, by plating and stripping of sodium metal on copper foils 10-fold larger (>10 cm 2 ) than in other studies in coin cells (~1 cm 2 )."
10/3389_fenrg_2019_00028_roles_of_ti_in_electrode,"In 1983, NaTiO 2 was first investigated as an electrode for sodium ion batteries by Maazaz et al. ."
